      communityId  class  frequency
0              25      2          2
1              25      3          2
2              29      3         13
3              29      2          6
4              31      2          4
5              31      3          2
6              35      3         18
7              35      2          1
8              37      3          8
9              39      3          2
10             43      3          5
11             49      3          2
12             55      3         11
13             55      2          1
14             58      3          1
15             59      3         11
16             59      2          1
17             61      3        103
18             61      2         35
19             63      3          3
20             63      2          1
21             69      3          4
22             71      3         14
23             75      3         71
24             75      2          7
25             86      3         49
26             86      2          3
27             90      3         53
28             90      2          4
29            102      2          7
30            102      3          2
31            107      3          1
32            125      3          4
33            131      2          1
34            135      3          3
35            135      2          1
36            141      2          1
37            143      2         10
38            143      3          2
39            154      3          2
40            163      3          3
41            167      2          2
42            171      3          8
43            171      2          1
44            177      2          3
45            179      3          3
46            183      2          4
47            183      3          2
48            187      3          3
49            191      3          2
50            191      2          1
51            193      3          1
52            208      3         14
53            208      2         11
54            211      3          2
55            212      3          2
56            214      3          2
57            216      3          5
58            216      2          3
59            217      3          2
60            218      3          1
61            220      3          7
62            226      3          9
63            238      3         46
64            238      2          5
65            240      2          3
66            240      3          2
67            242      2          2
68            247      3          6
69            253      2          4
70            253      3          1
71            255      3          4
72            257      3          5
73            257      2          1
74            271      2          9
75            271      3          2
76            279      2          1
77            279      3          1
78            284      3          2
79            303      3          2
80            307      3          2
81            310      2          2
82            326      2         16
83            328      3          2
84            339      3          2
85            340      3          1
86            347      2          1
87            347      3          1
88            361      3          2
89            372      2          5
90            372      3          1
91            377      3          3
92            381      2          4
93            381      3          4
94            389      3         27
95            389      2         19
96            402      3          7
97            402      2          5
98            418      3          5
99            418      2          1
100           422      3          1
101           429      2          4
102           455      3          1
103           457      3          3
104           458      2          1
105           458      3          1
106           468      3         10
107           468      2          8
108           474      3          2
109           484      3          1
110           508      3          2
111           509      3          9
112           518      3          4
113           518      2          1
114           519      3          3
115           527      2          2
116           529      3          2
117           542      3          2
118           547      2          4
119           547      3          1
120           551      3          2
121           553      3          5
122           553      2          1
123           559      2          2
124           559      3          1
125           577      2          1
126           579      2          2
127           579      3          1
128           580      3          2
129           581      2          4
130           581      3          1
131           583      3         23
132           589      3          2
133           598      2          3
134           598      3          2
135           601      3          6
136           609      2          1
137           610      3          9
138           614      2          8
139           614      3          7
140           622      3          6
141           626      3          5
142           626      2          1
143           627      2          2
144           630      3          1
145           646      3          4
146           646      2          1
147           692      3          2
148           697      3          5
149           698      2          1
150           701      3         38
151           703      3          5
152           705      3          1
153           716      2          4
154           716      3          2
155           717      3          3
156           722      3          1
157           726      2          3
158           731      3          4
159           731      2          3
160           746      2          7
161           746      3          1
162           752      3          5
163           753      3          4
164           753      2          3
165           762      3          2
166           762      2          1
167           782      3          9
168           782      2          1
169           800      3          5
170           803      3          2
171           814      3          3
172           814      2          2
173           820      2          2
174           824      3          2
175           836      3          2
176           841      3          3
177           843      3          1
178           844      3          2
179           847      3         26
180           847      2          2
181           847      1          1
182           850      2          5
183           850      3          1
184           856      2          3
185           856      3          1
186           861      2          2
187           863      2          5
188           863      3          1
189           885      3         19
190           885      2          3
191           895      3          4
192           910      3          3
193           915      3          1
194           917      3          2
195           919      3         11
196           919      2          8
197           919      1          2
198           938      3          2
199           938      2          1
200           940      3          6
201           944      3          6
202           948      3          2
203           973      2          6
204           973      3          6
205           973      1          1
206           975      3         10
207           975      2          6
208           975      1          1
209           988      2          7
210           988      3          2
211           990      3         10
212          1001      3          3
213          1002      3          9
214          1002      2          3
215          1011      2          1
216          1011      3          1
217          1013      3          2
218          1021      3          5
219          1021      2          3
220          1034      3          6
221          1036      3          4
222          1045      3          4
223          1049      3          2
224          1050      3          3
225          1050      2          1
226          1053      3          6
227          1056      3          2
228          1075      3          5
229          1077      3          5
230          1079      2          2
231          1079      3          1
232          1080      2         11
233          1080      3          8
234          1080      1          3
235          1082      3         19
236          1084      3          5
237          1084      2          1
238          1087      3          7
239          1094      3          3
240          1110      2          1
241          1111      3          1
242          1112      3         10
243          1118      3          1
244          1119      3         11
245          1120      3          2
246          1121      3          5
247          1126      3          2
248          1127      3         29
249          1129      3          1
250          1131      3          2
251          1133      3         13
252          1133      2          5
253          1136      3         11
254          1138      3          2
255          1145      2          3
256          1151      3          2
257          1164      2          3
258          1176      2          1
259          1176      3          1
260          1183      3          5
261          1188      3          7
262          1188      2          3
263          1189      2          4
264          1189      3          4
265          1193      2          2
266          1193      3          2
267          1195      3          5
268          1199      3          2
269          1207      3          3
270          1209      3          6
271          1209      2          3
272          1214      2          3
273          1223      2          2
274          1226      3          2
275          1226      2          1
276          1235      3          2
277          1251      3          3
278          1251      2          1
279          1252      3          5
280          1255      3          5
281          1301      3         49
282          1301      2          8
283          1315      2          2
284          1315      3          1
285          1316      2          3
286          1316      3          3
287          1318      3          4
288          1329      3          4
289          1332      3          5
290          1332      2          2
291          1334      3          5
292          1336      3          4
293          1344      3          6
294          1346      2          3
295          1363      2          3
296          1367      2          1
297          1369      3          5
298          1374      3          7
299          1376      2          3
300          1409      3          2
301          1415      3          4
302          1415      2          2
303          1424      2          2
304          1424      3          1
305          1425      3          1
306          1427      3          1
307          1434      3          5
308          1435      3          1
309          1441      2          3
310          1441      3          2
311          1446      2         11
312          1453      3          2
313          1455      3          3
314          1455      2          2
315          1456      3          2
316          1465      2          1
317          1465      3          1
318          1467      3          2
