degree,AccountName
1,10003555128226v5
6,10004529150162v6
2,10005399150150a6
1,1000555185224m5
1,10006390150102m6
2,10007555150226v5
1,10010555150226v5
2,10011319150226v5
1,10012555150226v5
1,10013399150132a6
1,10015310150224m5
2,10017399150132a6
7,10019590150166m5
8,10019590150177m5
2,10020399150146a6
1,10021555150226v5
18,10023111150226v5
7,10024321150144v6
3,10027101150226v5
1,10029111150195m5
4,10032399150207a6
5,10034399150118a6
3,10036399150137a6
2,10037300150226v6
2,10038216150102m6
1,10040555223226v5
2,10042399150185a6
3,10043512150117m5
13,10045114150226v5
3,1004583150226v6
5,10047111150226v6
1,10048543150224m5
3,10049555150226v5
5,10051399150198a6
3,10052555150224m5
1,10053512150117m5
9,10054289185226v6
1,1005543150117m5
26,10057225150224m5
4,10063555150226v5
3,1006399150146a6
3,10065294150117m5
1,10068555160138v5
3,10069436150162v6
1,10071555150226v5
3,10072567150228v6
5,10075514150224m5
1,1007555135224m6
2,10082555150226v5
3,10083555150117m5
65,10086500185224m6
2,10087555223228v6
4,1009399150146a6
2,10095225150224m5
2,10096111150137m6
1,10097399150132a6
1,10101381150226v5
3,10102172150226v6
1,10103321150226v5
3,10104390150117m5
1,1010555121226v6
1,10108555150226v5
1,10110555182226v6
9,10112360150166v5
2,10113369150117m5
1,10114302150226v5
1,1011543150224m5
3,10117399150146a6
2,10119555150226v5
2,10120512150117m5
3,10123532150224m5
4,1012479150162v6
4,10127399150236a6
1,10128399150223a6
1,10135555150226v5
2,10138555148224m6
8,10142386150226v5
2,10144176185224m6
4,10145490150141m6
2,1014555117226v5
1,10147410150226v6
1,10151555150226v5
1,10152555150226v5
6,1015555144224m6
1,10159517150224m5
3,10162512150117m5
1,10163489150197m6
2,1016555150226v5
7,10165562150219m6
2,10168399150236a6
1,10171555150226v5
2,10172555150226v5
6,10175176185102v5
8,10175176185226v5
4,10176555185224m5
2,10177555150226v5
2,10179555150226v5
4,10180553150131a6
1,10181555150195v5
1,10182555119226v6
2,1018555212102v6
6,10186417150226v5
5,10188567150102m6
3,10197343150226v6
1,10203396150203m6
1,10204555150226v6
3,10209399150150a6
2,10210279150226v5
2,10213399150150a6
1,1021555150226v5
1,10218555150138v5
1,10219321150226v5
4,10220555117166a5
2,1022479150226v6
2,10229276150226v6
1,1023111150226v5
1,10232555200224m6
1,10233555150226v6
2,10234555150226v5
1,10235353150117m5
1,10236321150226v5
1,10238225150117m5
3,10239555150226v5
3,10240555150226v5
3,10242399150137a6
1,10245555150226v5
2,10246555150226v5
3,10247580106226v5
1,10248557150141v6
2,10258321150226v5
4,10260338150226v6
3,10262111150195v5
1,10267476150166v5
3,10271399150146a6
2,10273583150226v6
3,1027555148226v6
1,10275555150226v6
5,10276399150102a6
1,10277555150195v5
4,10282399150131a6
1,10283555223226v6
3,10285224106224m6
4,1028543150224m5
1,10288555150226v5
2,10289399150236a6
