      communityId  class  frequency
0              28      1          2
1              29      1          2
2              30      1          2
3              31      1          2
4              32      1          2
5              33      0          3
6              33      1          2
7              34      0         16
8              34      1          2
9              35      1          2
10             36      0         16
11             36      1          2
12             37      1          2
13             38      0          2
14             38      1          2
15             39      1          2
16             40      0          3
17             40      1          2
18             41      0          4
19             41      1          2
20             42      1          2
21             43      0          2
22             43      1          2
23             44      1          2
24             45      0          2
25             45      1          2
26             46      1          2
27             47      0          6
28             47      1          2
29             48      1          2
30             49      0          4
31             49      1          2
32             50      1          2
33             51      0          4
34             51      1          2
35             52      1          2
36             53      0          2
37             53      1          2
38             54      1          2
39             55      1          2
40           4302      0          2
41           4303      0          2
42           4304      0          2
43           4305      0          2
44           4306      0          2
45           4307      0          2
46           4308      0          2
47           4309      0          9
48           4310      0         15
49           4311      0          2
50           4312      0          2
51           4313      0          2
52           4314      0          2
53           4315      0          5
54           4316      0          2
55           4317      0          2
56           4318      0          2
57           4319      0          4
58           4320      0          2
59           4321      0          7
60           4322      0          3
61           4323      0          2
62           4324      0         23
63           4325      0          2
64           4326      0          2
65           4327      0          2
66           4328      0          2
67           4329      0          2
68           4330      0          2
69           4331      0          2
70           4332      0          2
71           4333      0          2
72           4334      0          2
73           4335      0          2
74           4336      0          2
75           4337      0          2
76           4338      0          2
77           4339      0          2
78           4340      0          2
79           4341      0         11
80           4342      0         10
81           4343      0          2
82           4344      0          2
83           4345      0          2
84           4346      0          2
85           4347      0          5
86           4348      0         28
87           4349      0          2
88           4350      0          2
89           4351      0          4
90           4352      0          2
91           4353      0          2
92           4354      0          2
93           4355      0          2
94           4356      0          2
95           4357      0          2
96           4358      0          3
97           4359      0          3
98           4360      0          8
99           4361      0          3
100          4362      0          2
101          4363      0          2
102          4364      0         11
103          4365      0          2
104          4366      0          2
105          4367      0          2
106          4368      0          7
107          4369      0          2
108          4370      0          3
109          4371      0         11
110          4372      0         28
111          4373      0          2
112          4374      0          2
113          4375      0          2
114          4376      0          2
115          4377      0          2
116          4378      0          6
117          4379      0          2
118          4380      0         16
119          4381      0         22
120          4382      0         37
121          4383      0         24
122          4384      0         13
123          4385      0         31
124          4386      0          6
125          4387      0          2
126          4388      0          2
127          4389      0          2
128          4390      0          2
129          4391      0          2
130          4392      0          2
131          4393      0          2
132          4394      0          2
133          4395      0          4
134          4396      0         17
135          4397      0         21
136          4398      0          3
137          4399      0          6
138          4400      0          8
139          4401      0         24
140          4402      0         43
141          4403      0          2
142          4404      0          2
143          4405      0         26
144          4406      0          9
145          4407      0          2
146          4408      0          2
147          4409      0         11
148          4410      0          2
149          4411      0         36
150          4412      0          2
151          4413      0          2
152          4414      0          2
153          4415      0          2
154          4416      0          2
155          4417      0          2
156          4418      0          2
157          4419      0          2
158          4420      0         29
159          4421      0          5
160          4422      0          2
161          4423      0          2
162          4424      0          2
163          4425      0          2
164          4426      0          2
165          4427      0         11
166          4428      0          2
167          4429      0          2
168          4430      0          6
169          4431      0          2
170          4432      0          2
171          4433      0          2
172          4434      0         16
173          4435      0          2
174          4436      0          2
175          4437      0         20
176          4438      0          5
177          4439      0         27
178          4440      0          6
179          4441      0         30
180          4442      0          8
181          4443      0          3
182          4444      0         25
183          4445      0         12
184          4446      0          4
185          4447      0          3
186          4448      0         17
187          4449      0         12
188          4450      0          4
189          4451      0         21
190          4452      0         14
191          4453      0          4
192          4454      0         18
193          4455      0         20
194          4456      0          3
195          4457      0          8
196          4458      0         29
197          4459      0          2
198          4460      0          2
199          4461      0          2
200          4462      0          2
201          4463      0          2
202          4464      0          2
203          4465      0          2
204          4466      0          2
205          4467      0          2
206          4468      0          4
207          4469      0          2
208          4470      0          2
209          4471      0         11
210          4472      0          8
211          4473      0          7
212          4474      0          2
213          4475      0          2
214          4476      0          2
215          4477      0          2
216          4478      0          2
217          4479      0          2
218          4480      0          2
219          4481      0          2
220          4482      0          2
221          4483      0          2
222          4484      0          2
223          4485      0          2
224          4486      0          2
225          4487      0          2
226          4488      0          2
227          4489      0          2
228          4490      0          2
229          4491      0          2
230          4492      0          2
231          4493      0          2
232          4494      0          2
233          4495      0          2
234          4496      0          2
235          4497      0         11
236          4498      0          2
237          4499      0          2
238          4500      0          2
239          4501      0          2
240          4502      0          2
241          4503      0          2
242          4504      0          2
243          4505      0          2
244          4506      0          2
245          4507      0          2
246          4508      0          2
247          4509      0          2
248          4510      0         19
249          4511      0          2
250          4512      0          2
251          4513      0          2
252          4514      0          2
253          4515      0          2
254          4516      0          2
255          4517      0          2
256          4518      0          2
257          4519      0          2
258          4520      0          2
259          4521      0          2
260          4522      0          2
261          4523      0          2
262          4524      0          2
263          4525      0          2
264          4526      0          2
265          4527      0          2
266          4528      0         17
267          4529      0          2
268          4530      0          2
269          4531      0          2
270          4532      0          2
271          4533      0          2
272          4534      0          2
273          4535      0          2
274          4536      0          2
275          4537      0          2
276          4538      0          2
277          4539      0          2
278          4540      0          2
279          4541      0          2
280          4542      0          2
281          4543      0          2
282          4544      0          2
283          4545      0          2
284          4546      0         10
285          4547      0          2
286          4548      0          7
287          4549      0          2
288          4550      0          3
289          4551      0          2
290          4552      0          2
291          4553      0          2
292          4554      0          2
293          4555      0          2
294          4556      0          2
295          4557      0          2
296          4558      0          2
297          4559      0          2
298          4560      0          2
299          4561      0          2
300          4562      0         19
301          4563      0          2
302          4564      0          2
303          4565      0          2
304          4566      0          2
305          4567      0          2
306          4568      0         26
307          4569      0         31
308          4570      0          9
309          4571      0         14
310          4572      0          2
311          4573      0          2
312          4574      0          2
313          4575      0          5
314          4576      0          6
315          4577      0          2
316          4578      0          7
317          4579      0          3
318          4580      0          6
319          4581      0          5
320          4582      0         19
321          4583      0         20
322          4584      0          6
323          4585      0          2
324          4586      0         11
325          4587      0         21
326          4588      0          4
327          4589      0          2
328          4590      0          2
329          4591      0          9
330          4592      0          4
331          4593      0          2
332          4594      0          2
333          4595      0          2
334          4596      0          2
335          4597      0          2
336          4598      0          2
337          4599      0          2
338          4600      0          2
339          4601      0          2
340          4602      0          2
341          4603      0          2
342          4604      0          8
343          4605      0          2
344          4606      0          2
345          4607      0          2
346          4608      0          7
347          4609      0         10
348          4610      0          2
349          4611      0          2
350          4612      0          2
351          4613      0          2
352          4614      0          2
353          4615      0          2
354          4616      0          2
355          4617      0          2
356          4618      0          2
357          4619      0          2
358          4620      0          2
359          4621      0          2
360          4622      0          2
361          4623      0          2
362          4624      0          2
363          4625      0          2
